theme,image_url,lines,author
APPRECIATION,https://assets.passiton.com/passiton_en/quotes/images/3072/large_20251119_wednesday_quote.jpg,The best way to pay for a lovely moment is to enjoy it. #<Author:0x00007ff4dc89dd60>,Richard David Bach
APPRECIATION,https://assets.passiton.com/passiton_en/quotes/images/4298/large_20251118_tuesday_quote.jpg,Appreciation is a wonderful thing. It makes what is excellent in others belong to us as well. #<Author:0x00007ff4dc89d5e0>,Voltaire
APPRECIATION,https://assets.passiton.com/passiton_en/quotes/images/6794/large_20251117_monday_quote.jpg,What counts can’t always be counted; what can be counted doesn’t always count. #<Author:0x00007ff4dc89cfa0>,Albert Einstein
PURPOSE,https://assets.passiton.com/passiton_en/quotes/images/7304/large_20251114_friday_quote.jpg,The two most important days in your life are the day you are born and the day you find out why. #<Author:0x00007ff4dc89c320>,Mark Twain
PURPOSE,https://assets.passiton.com/passiton_en/quotes/images/6999/large_20251113_thursday_quote.jpg,"It's not so much how busy you are, but why you are busy. #<Author:0x00007ff4dc89ba60>",Mary Flannery O'Connor
PURPOSE,https://assets.passiton.com/passiton_en/quotes/images/7472/large_20251112_wednesday_quote.jpg,The meaning of life is to find your gift. The purpose of life is to give it away. #<Author:0x00007ff4dc89b560>,Pablo Picasso
PURPOSE,https://assets.passiton.com/passiton_en/quotes/images/8459/large_20251111_tuesday_quote.jpg,A hero is someone who has given his or her life to something bigger than oneself. #<Author:0x00007ff4dc89b060>,Joseph Campbell
PURPOSE,https://assets.passiton.com/passiton_en/quotes/images/7474/large_20251110_monday_quote.jpg,The purpose of life is a life of purpose. #<Author:0x00007ff4dc89aa20>,Robert Byrne
PATIENCE,https://assets.passiton.com/passiton_en/quotes/images/6899/large_20251107_friday_quote.jpg,Adopt the pace of nature: her secret is patience. #<Author:0x00007ff4dc89a520>,Ralph Waldo Emerson
PATIENCE,https://assets.passiton.com/passiton_en/quotes/images/7169/large_20251106_thursday_quote.jpg,"Have patience with all things, but, first of all with yourself. #<Author:0x00007ff4dc899b20>",Saint Francis de Sales
PATIENCE,https://assets.passiton.com/passiton_en/quotes/images/7725/large_20251105_wednesday_quote.jpg,Patience is not simply the ability to wait—it's how we behave while we're waiting.  #<Author:0x00007ff4dc8975a0>,Joyce Meyer
PATIENCE,https://assets.passiton.com/passiton_en/quotes/images/3015/large_20251104_tuesday_quote.jpg,Great difficulties may be surmounted by patience and perseverance. #<Author:0x00007ff4dc896f60>,Abigail Adams
PATIENCE,https://assets.passiton.com/passiton_en/quotes/images/7726/large_20251103_monday_quote.jpg,Have patience. All things are difficult before they become easy.  #<Author:0x00007ff4dc896a60>,Saadi
